"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR1191866","ERR1191867","ERR1191869"
"trpE","","Anthranilate synthase component 1","3","3","1","1","550","","","","1361","1361","1361","CPJADAKE_01481","EJKBOHLF_01736","MCNKEKOJ_00720"
"group_2552","","hypothetical protein","3","3","1","1","1441","","","","287","287","287","CPJADAKE_00389","EJKBOHLF_01163","MCNKEKOJ_01463"
"gmuE","","Putative fructokinase","3","3","1","1","643","","","","887","887","887","CPJADAKE_01561","EJKBOHLF_00038","MCNKEKOJ_00636"
"acyP","","Acylphosphatase","3","3","1","7","39","","","","278","278","278","CPJADAKE_00927","EJKBOHLF_00673","MCNKEKOJ_01003"
"thiI","","putative tRNA sulfurtransferase","3","3","1","2","47","","","","1214","1214","1214","CPJADAKE_01196","EJKBOHLF_01285","MCNKEKOJ_01079"
"tarJ","","Ribulose-5-phosphate reductase","3","3","1","5","68","","","","1022","1022","1022","CPJADAKE_00300","EJKBOHLF_01082","MCNKEKOJ_00943"
"lcnD_1","","Lactococcin A secretion protein LcnD","3","3","1","1","977","","","","1349","1349","1349","CPJADAKE_01350","EJKBOHLF_00857","MCNKEKOJ_01250"
"group_256","","hypothetical protein","3","3","1","1","1422","","","","221","221","221","CPJADAKE_00370","EJKBOHLF_01181","MCNKEKOJ_01481"
"IMPDH_2","","Inosine-5'-monophosphate dehydrogenase","3","3","1","6","68","","","","656","656","656","CPJADAKE_00614","EJKBOHLF_01864","MCNKEKOJ_01199"
"group_2561","","hypothetical protein","3","3","1","1","588","","","","239","239","239","CPJADAKE_01448","EJKBOHLF_01419","MCNKEKOJ_00687"
"coaBC_1","","Coenzyme A biosynthesis bifunctional protein CoaBC","3","3","1","5","31","","","","689","689","689","CPJADAKE_00337","EJKBOHLF_01195","MCNKEKOJ_00906"
"group_2563","","hypothetical protein","3","3","1","2","124","","","","1181","1184","1182","CPJADAKE_01549","EJKBOHLF_00706","MCNKEKOJ_01942"
"group_2564","","hypothetical protein","3","3","1","11","2","","","","800","800","800","CPJADAKE_02001","EJKBOHLF_01149","MCNKEKOJ_01895"
"gmuD_1","","6-phospho-beta-glucosidase GmuD","3","3","1","1","1276","","","","1379","1379","1379","CPJADAKE_00533","EJKBOHLF_01365","MCNKEKOJ_00488"
"sorB_2","","PTS system fructose-specific EIIB component","3","3","1","1","1227","","","","491","491","491","CPJADAKE_00582","EJKBOHLF_01044","MCNKEKOJ_01354"
"group_2567","","hypothetical protein","3","3","1","4","89","","","","269","269","269","CPJADAKE_00980","EJKBOHLF_00606","MCNKEKOJ_01407"
"group_2568","","hypothetical protein","3","3","1","2","98","","","","482","482","482","CPJADAKE_01605","EJKBOHLF_00732","MCNKEKOJ_01626"
"graS","","Sensor histidine kinase GraS","3","3","1","1","728","","","","974","974","974","CPJADAKE_00517","EJKBOHLF_00117","MCNKEKOJ_00055"
"group_257","","hypothetical protein","3","3","1","1","1440","","","","572","587","577","CPJADAKE_00388","EJKBOHLF_01164","MCNKEKOJ_01464"
"cysS","","Cysteine--tRNA ligase","3","3","1","2","4","","","","1343","1343","1343","CPJADAKE_01813","EJKBOHLF_01980","MCNKEKOJ_01368"
"aptA","","Apulose-4-phosphate transketolase subunit A","3","3","1","3","210","","","","857","857","857","CPJADAKE_01870","EJKBOHLF_01726","MCNKEKOJ_01899"
"group_2572","","hypothetical protein","3","3","1","1","1428","","","","1064","1064","1064","CPJADAKE_00377","EJKBOHLF_01175","MCNKEKOJ_01475"
"lgt","","Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase","3","3","1","1","402","","","","788","788","788","CPJADAKE_00203","EJKBOHLF_00404","MCNKEKOJ_00298"
"pepF1_1","","Oligoendopeptidase F, plasmid","3","3","1","1","600","","","","1796","1796","1796","CPJADAKE_01438","EJKBOHLF_01410","MCNKEKOJ_00680"
"menF","","Isochorismate synthase MenF","3","3","1","4","77","","","","1721","1721","1721","CPJADAKE_00992","EJKBOHLF_00618","MCNKEKOJ_01779"
"ulaC","","Ascorbate-specific PTS system EIIA component","3","3","1","9","21","","","","485","485","485","CPJADAKE_01117","EJKBOHLF_01006","MCNKEKOJ_01283"
"ribX","","Riboflavin transport system permease protein RibX","3","3","1","3","130","","","","758","758","758","CPJADAKE_00752","EJKBOHLF_01582","MCNKEKOJ_00407"
"group_2578","","hypothetical protein","3","3","1","1","868","","","","617","617","617","CPJADAKE_01235","EJKBOHLF_01951","MCNKEKOJ_00201"
"rluD_1","","Ribosomal large subunit pseudouridine synthase D","3","3","1","1","186","","","","896","896","896","CPJADAKE_01388","EJKBOHLF_00803","MCNKEKOJ_01910"
"yfmL","","putative ATP-dependent RNA helicase YfmL","3","3","1","1","899","","","","1082","1082","1082","CPJADAKE_00149","EJKBOHLF_00466","MCNKEKOJ_00234"
"group_2581","","hypothetical protein","3","3","1","1","971","","","","509","509","509","CPJADAKE_01356","EJKBOHLF_00851","MCNKEKOJ_01244"
"nudF","","ADP-ribose pyrophosphatase","3","3","1","2","94","","","","545","545","545","CPJADAKE_01609","EJKBOHLF_00736","MCNKEKOJ_01630"
"graR","","Response regulator protein GraR","3","3","1","1","727","","","","677","677","677","CPJADAKE_00516","EJKBOHLF_00116","MCNKEKOJ_00054"
"metE","","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","3","3","1","2","9","","","","2249","2249","2249","CPJADAKE_01818","EJKBOHLF_01975","MCNKEKOJ_01373"
"group_2585","","hypothetical protein","3","3","1","6","115","","","","929","929","929","CPJADAKE_00659","EJKBOHLF_01697","MCNKEKOJ_01884"
"group_2586","","hypothetical protein","3","3","1","8","56","","","","443","443","443","CPJADAKE_01315","EJKBOHLF_01404","MCNKEKOJ_01132"
"yheI","","putative multidrug resistance ABC transporter ATP-binding/permease protein YheI","3","3","1","8","32","","","","1745","1745","1745","CPJADAKE_01291","EJKBOHLF_01381","MCNKEKOJ_01110"
"alr","","Alanine racemase","3","3","1","1","666","","","","1103","1103","1103","CPJADAKE_01584","EJKBOHLF_00060","MCNKEKOJ_00614"
"lacA","","Galactose-6-phosphate isomerase subunit LacA","3","3","1","6","52","","","","425","425","425","CPJADAKE_01908","EJKBOHLF_01806","MCNKEKOJ_01829"
"group_2590","","5'-nucleotidase","3","3","1","1","1437","","","","632","632","632","CPJADAKE_00385","EJKBOHLF_01167","MCNKEKOJ_01467"
"group_2591","","hypothetical protein","3","3","1","1","1460","","","","233","233","233","CPJADAKE_00412","EJKBOHLF_01454","MCNKEKOJ_00608"
"dnaE2","","Error-prone DNA polymerase","3","3","1","2","59","","","","3101","3101","3101","CPJADAKE_01211","EJKBOHLF_01985","MCNKEKOJ_01091"
"group_2593","","hypothetical protein","3","3","1","1","179","","","","215","215","215","CPJADAKE_01395","EJKBOHLF_00796","MCNKEKOJ_01917"
"artM_2","","Arginine transport ATP-binding protein ArtM","3","3","1","1","500","","","","734","734","734","CPJADAKE_00673","EJKBOHLF_01480","MCNKEKOJ_01657"
"thiD","","Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","3","3","1","4","126","","","","791","791","791","CPJADAKE_01948","EJKBOHLF_01916","MCNKEKOJ_01443"
"group_2596","","hypothetical protein","3","3","1","5","24","","","","263","263","263","CPJADAKE_00344","EJKBOHLF_01188","MCNKEKOJ_01748"
"group_2597","","hypothetical protein","3","3","1","2","202","","","","254","254","254","CPJADAKE_01719","EJKBOHLF_01501","MCNKEKOJ_01392"
"yaaA","","Peroxide stress resistance protein YaaA","3","3","1","1","840","","","","728","728","728","CPJADAKE_01262","EJKBOHLF_00180","MCNKEKOJ_00176"
"metN","","Methionine import ATP-binding protein MetN","3","3","1","1","1379","","","","1061","1061","1061","CPJADAKE_00439","EJKBOHLF_00290","MCNKEKOJ_00583"
"gapN","","NADP-dependent glyceraldehyde-3-phosphate dehydrogenase","3","3","1","1","202","","","","1424","1424","1424","CPJADAKE_01021","EJKBOHLF_00819","MCNKEKOJ_01644"
"recG","","ATP-dependent DNA helicase RecG","3","3","1","1","667","","","","2015","2015","2015","CPJADAKE_01585","EJKBOHLF_00061","MCNKEKOJ_00613"
"rsgA","","Small ribosomal subunit biogenesis GTPase RsgA","3","3","1","7","74","","","","878","878","878","CPJADAKE_00918","EJKBOHLF_00682","MCNKEKOJ_01012"
"group_2603","","hypothetical protein","3","3","1","4","59","","","","245","245","245","CPJADAKE_01008","EJKBOHLF_00633","MCNKEKOJ_01841"
"yidA_2","","Sugar phosphatase YidA","3","3","1","2","153","","","","809","809","809","CPJADAKE_01525","EJKBOHLF_01565","MCNKEKOJ_01531"
"lrp","","Leucine-rich protein","3","3","1","2","2","","","","884","884","884","CPJADAKE_01811","EJKBOHLF_01982","MCNKEKOJ_01366"
"pepV","","Beta-Ala-Xaa dipeptidase","3","3","1","4","39","","","","1400","1400","1400","CPJADAKE_01504","EJKBOHLF_00763","MCNKEKOJ_01555"
"speA","","Arginine decarboxylase","3","3","1","2","160","","","","1475","1475","1475","CPJADAKE_01518","EJKBOHLF_01573","MCNKEKOJ_01524"
"group_2608","","Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase","3","3","1","1","851","","","","1400","1400","1400","CPJADAKE_01251","EJKBOHLF_00191","MCNKEKOJ_00185"
"group_2609","","DegV domain-containing protein","3","3","1","1","195","","","","839","839","839","CPJADAKE_01014","EJKBOHLF_00812","MCNKEKOJ_01651"
"group_261","","hypothetical protein","3","3","1","1","1453","","","","197","206","200","CPJADAKE_00405","EJKBOHLF_02137","MCNKEKOJ_01450"
"gor","","Glutathione reductase","3","3","1","6","96","","","","1346","1346","1346","CPJADAKE_00642","EJKBOHLF_01264","MCNKEKOJ_01172"
"glpO","","Alpha-glycerophosphate oxidase","3","3","1","3","145","","","","1826","1826","1826","CPJADAKE_01094","EJKBOHLF_00575","MCNKEKOJ_00393"
"group_2612","","hypothetical protein","3","3","1","3","129","","","","290","290","290","CPJADAKE_00753","EJKBOHLF_01583","MCNKEKOJ_00408"
"group_2613","","IS1380 family transposase ISSpn5","3","3","1","1","1370","","","","1346","1346","1346","CPJADAKE_00447","EJKBOHLF_02183","MCNKEKOJ_02035"
"sufS","","Cysteine desulfurase SufS","3","3","1","2","35","","","","1226","1226","1226","CPJADAKE_01183","EJKBOHLF_01298","MCNKEKOJ_01066"
"clpX","","ATP-dependent Clp protease ATP-binding subunit ClpX","3","3","1","1","771","","","","1232","1232","1232","CPJADAKE_00739","EJKBOHLF_00159","MCNKEKOJ_00098"
"bcrA_2","","Bacitracin transport ATP-binding protein BcrA","3","3","1","4","107","","","","647","647","647","CPJADAKE_00963","EJKBOHLF_00588","MCNKEKOJ_01423"
"mapP","","Maltose 6'-phosphate phosphatase","3","3","1","6","73","","","","815","815","815","CPJADAKE_00619","EJKBOHLF_02148","MCNKEKOJ_01194"
"fpgS_2","","Folylpolyglutamate synthase","3","3","1","1","1253","","","","1322","1322","1322","CPJADAKE_00556","EJKBOHLF_01604","MCNKEKOJ_01730"
"comFA","","ComF operon protein 1","3","3","1","3","120","","","","1298","1298","1298","CPJADAKE_00761","EJKBOHLF_01591","MCNKEKOJ_00416"
"nadD","","Nicotinate-nucleotide adenylyltransferase","3","3","1","1","618","","","","629","629","629","CPJADAKE_01693","EJKBOHLF_00013","MCNKEKOJ_00662"
"zwf","","Glucose-6-phosphate 1-dehydrogenase","3","3","1","5","45","","","","1487","1487","1487","CPJADAKE_00324","EJKBOHLF_01207","MCNKEKOJ_00918"
"recD2","","ATP-dependent RecD-like DNA helicase","3","3","1","1","1151","","","","2366","2366","2366","CPJADAKE_00045","EJKBOHLF_00235","MCNKEKOJ_00854"
"deoD_2","","Purine nucleoside phosphorylase DeoD-type","3","3","1","1","509","","","","710","710","710","CPJADAKE_00683","EJKBOHLF_01471","MCNKEKOJ_01667"
"alaS","","Alanine--tRNA ligase","3","3","1","1","375","","","","2618","2618","2618","CPJADAKE_00231","EJKBOHLF_01239","MCNKEKOJ_00325"
"cdd","","Cytidine deaminase","3","3","1","1","517","","","","389","389","389","CPJADAKE_00691","EJKBOHLF_01463","MCNKEKOJ_01675"
"group_2626","","hypothetical protein","3","3","1","4","104","","","","764","764","764","CPJADAKE_00966","EJKBOHLF_00591","MCNKEKOJ_01420"
"addA","","ATP-dependent helicase/nuclease subunit A","3","3","1","1","213","","","","3650","3650","3650","CPJADAKE_01032","EJKBOHLF_00530","MCNKEKOJ_01950"
"group_2628","","hypothetical protein","3","3","1","9","30","","","","380","380","380","CPJADAKE_01126","EJKBOHLF_01015","MCNKEKOJ_01292"
"group_2629","","hypothetical protein","3","3","1","1","870","","","","464","464","464","CPJADAKE_01233","EJKBOHLF_01949","MCNKEKOJ_00203"
"group_263","","hypothetical protein","3","3","1","1","1462","","","","152","152","152","CPJADAKE_00414","EJKBOHLF_01452","MCNKEKOJ_00606"
"group_2630","","hypothetical protein","3","3","1","1","928","","","","635","635","635","CPJADAKE_00178","EJKBOHLF_00437","MCNKEKOJ_00263"
"agrA_2","","Accessory gene regulator protein A","3","3","1","1","1042","","","","737","737","737","CPJADAKE_01795","EJKBOHLF_01512","MCNKEKOJ_01587"
"group_2632","","hypothetical protein","3","3","1","1","1065","","","","527","527","527","CPJADAKE_00121","EJKBOHLF_01336","MCNKEKOJ_01509"
"ddl","","D-alanine--D-alanine ligase","3","3","1","1","692","","","","1043","1043","1043","CPJADAKE_00484","EJKBOHLF_00084","MCNKEKOJ_00023"
"group_2634","","hypothetical protein","3","3","1","1","63","","","","629","629","629","CPJADAKE_01648","EJKBOHLF_00907","MCNKEKOJ_00821"
"dhaM","","PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM","3","3","1","1","215","","","","374","380","378","CPJADAKE_01052","EJKBOHLF_00902","MCNKEKOJ_01784"
"thiM_1","","Hydroxyethylthiazole kinase","3","3","1","4","117","","","","782","782","782","CPJADAKE_01939","EJKBOHLF_01907","MCNKEKOJ_01434"
"ybaN","","Inner membrane protein YbaN","3","3","1","5","61","","","","359","359","359","CPJADAKE_00307","EJKBOHLF_02008","MCNKEKOJ_00936"
"rnhC","","Ribonuclease HIII","3","3","1","1","1149","","","","881","881","881","CPJADAKE_00047","EJKBOHLF_00237","MCNKEKOJ_00856"
"rsmH","","Ribosomal RNA small subunit methyltransferase H","3","3","1","1","1216","","","","950","950","950","CPJADAKE_00592","EJKBOHLF_01054","MCNKEKOJ_01344"
"group_264","","hypothetical protein","3","3","1","1","1465","","","","437","437","437","CPJADAKE_00417","EJKBOHLF_01449","MCNKEKOJ_00603"
"group_2640","","hypothetical protein","3","3","1","1","1360","","","","677","677","677","CPJADAKE_00458","EJKBOHLF_00308","MCNKEKOJ_00565"
"adhB","","Alcohol dehydrogenase 2","3","3","1","3","180","","","","1151","1151","1151","CPJADAKE_01068","EJKBOHLF_00550","MCNKEKOJ_00366"
"group_2642","","hypothetical protein","3","3","1","3","88","","","","194","194","194","CPJADAKE_00795","EJKBOHLF_00987","MCNKEKOJ_00453"
"rbfA","","Ribosome-binding factor A","3","3","1","2","193","","","","350","350","350","CPJADAKE_01725","EJKBOHLF_02031","MCNKEKOJ_01397"
"strH","","Beta-N-acetylhexosaminidase","3","3","1","1","964","","","","3911","3938","3929","CPJADAKE_01363","EJKBOHLF_00844","MCNKEKOJ_01237"
"lacB","","Galactose-6-phosphate isomerase subunit LacB","3","3","1","6","51","","","","515","515","515","CPJADAKE_01909","EJKBOHLF_01807","MCNKEKOJ_01828"
"group_2646","","hypothetical protein","3","3","1","1","571","","","","770","770","770","CPJADAKE_01462","EJKBOHLF_01755","MCNKEKOJ_00701"
"ssb_2","","Single-stranded DNA-binding protein","3","3","1","12","14","","","","395","395","395","CPJADAKE_01903","EJKBOHLF_01843","MCNKEKOJ_01703"
"group_2648","","hypothetical protein","3","3","1","4","61","","","","359","359","359","CPJADAKE_01007","EJKBOHLF_00632","MCNKEKOJ_01840"
"xylH","","2-hydroxymuconate tautomerase","3","3","1","1","72","","","","182","182","182","CPJADAKE_01638","EJKBOHLF_00917","MCNKEKOJ_00811"
"group_265","","hypothetical protein","3","3","1","1","1397","","","","875","953","901","CPJADAKE_00422","EJKBOHLF_01444","MCNKEKOJ_00597"
"trpA","","Tryptophan synthase alpha chain","3","3","1","1","558","","","","776","776","776","CPJADAKE_01475","EJKBOHLF_01742","MCNKEKOJ_00714"
"copY","","Transcriptional repressor CopY","3","3","1","4","127","","","","395","395","395","CPJADAKE_01949","EJKBOHLF_01917","MCNKEKOJ_01444"
"group_2652","","hypothetical protein","3","3","1","1","1166","","","","995","995","995","CPJADAKE_00040","EJKBOHLF_00221","MCNKEKOJ_00847"
"group_2653","","hypothetical protein","3","3","1","1","345","","","","170","173","172","CPJADAKE_01655","EJKBOHLF_02090","MCNKEKOJ_01934"
"gabR","","HTH-type transcriptional regulatory protein GabR","3","3","1","1","384","","","","1271","1271","1271","CPJADAKE_00222","EJKBOHLF_00385","MCNKEKOJ_00316"
"glyS","","Glycine--tRNA ligase beta subunit","3","3","1","1","906","","","","2036","2048","2040","CPJADAKE_00156","EJKBOHLF_00459","MCNKEKOJ_00241"
"manA","","Mannose-6-phosphate isomerase ManA","3","3","1","6","33","","","","944","944","944","CPJADAKE_01977","EJKBOHLF_01847","MCNKEKOJ_01216"
"group_2657","","hypothetical protein","3","3","1","1","745","","","","338","338","338","CPJADAKE_00711","EJKBOHLF_00134","MCNKEKOJ_00071"
"ybeY","","Endoribonuclease YbeY","3","3","1","2","115","","","","497","497","497","CPJADAKE_01589","EJKBOHLF_00715","MCNKEKOJ_01609"
"group_2659","","hypothetical protein","3","3","1","9","54","","","","1277","1277","1277","CPJADAKE_01151","EJKBOHLF_01037","MCNKEKOJ_01315"
"aroE","","Shikimate dehydrogenase (NADP(+))","3","3","1","1","368","","","","854","854","854","CPJADAKE_00237","EJKBOHLF_01233","MCNKEKOJ_00331"
"group_2661","","hypothetical protein","3","3","1","3","215","","","","851","851","851","CPJADAKE_01866","EJKBOHLF_01721","MCNKEKOJ_01963"
"murG","","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","3","3","1","4","99","","","","1058","1058","1058","CPJADAKE_00970","EJKBOHLF_00596","MCNKEKOJ_01416"
"group_2663","","Endo-alpha-N-acetylgalactosaminidase","3","3","1","1","1187","","","","5303","5303","5303","CPJADAKE_00022","EJKBOHLF_00202","MCNKEKOJ_00829"
"endA","","DNA-entry nuclease","3","3","1","7","29","","","","824","824","824","CPJADAKE_00937","EJKBOHLF_00663","MCNKEKOJ_00994"
"dexB","","Glucan 1,6-alpha-glucosidase","3","3","1","1","1207","","","","1607","1610","1608","CPJADAKE_00600","EJKBOHLF_01062","MCNKEKOJ_01336"
"comGA","","ComG operon protein 1","3","3","1","9","39","","","","941","941","941","CPJADAKE_01134","EJKBOHLF_01023","MCNKEKOJ_01299"
"nadE","","NH(3)-dependent NAD(+) synthetase","3","3","1","1","410","","","","824","824","824","CPJADAKE_00195","EJKBOHLF_00412","MCNKEKOJ_00290"
"group_2668","","hypothetical protein","3","3","1","1","1385","","","","656","656","656","CPJADAKE_00434","EJKBOHLF_00285","MCNKEKOJ_00588"
"fmt","","Methionyl-tRNA formyltransferase","3","3","1","1","630","","","","935","935","935","CPJADAKE_01705","EJKBOHLF_00025","MCNKEKOJ_00649"
"group_267","","hypothetical protein","3","3","1","1","1388","","","","665","665","665","CPJADAKE_00431","EJKBOHLF_01434","MCNKEKOJ_00590"
"group_2670","","hypothetical protein","3","3","1","5","19","","","","797","797","797","CPJADAKE_00349","EJKBOHLF_01789","MCNKEKOJ_01753"
"group_2671","","hypothetical protein","3","3","1","1","767","","","","1505","1505","1505","CPJADAKE_00735","EJKBOHLF_00155","MCNKEKOJ_00094"
"aspB","","Asparagine--oxo-acid transaminase","3","3","1","1","845","","","","1187","1187","1187","CPJADAKE_01257","EJKBOHLF_00185","MCNKEKOJ_00179"
"pyrF","","Orotidine 5'-phosphate decarboxylase","3","3","1","4","101","","","","701","701","701","CPJADAKE_00968","EJKBOHLF_00594","MCNKEKOJ_01418"
"tcyJ","","L-cystine-binding protein TcyJ","3","3","1","4","37","","","","800","800","800","CPJADAKE_01502","EJKBOHLF_00765","MCNKEKOJ_01558"
"group_2675","","hypothetical protein","3","3","1","11","19","","","","380","380","380","CPJADAKE_01748","EJKBOHLF_01129","MCNKEKOJ_01718"
"divIB","","Cell division protein DivIB","3","3","1","4","100","","","","1157","1166","1163","CPJADAKE_00969","EJKBOHLF_00595","MCNKEKOJ_01417"
"group_2677","","hypothetical protein","3","3","1","2","96","","","","788","800","796","CPJADAKE_01607","EJKBOHLF_00734","MCNKEKOJ_01628"
"group_2678","","hypothetical protein","3","3","1","3","220","","","","197","197","197","CPJADAKE_01860","EJKBOHLF_01716","MCNKEKOJ_01958"
"yheS_2","","putative ABC transporter ATP-binding protein YheS","3","3","1","1","197","","","","1901","1901","1901","CPJADAKE_01016","EJKBOHLF_00814","MCNKEKOJ_01649"
"group_268","","hypothetical protein","3","3","1","1","1383","","","","323","323","323","CPJADAKE_00435","EJKBOHLF_00286","MCNKEKOJ_00587"
"rapA","","RNA polymerase-associated protein RapA","3","3","1","1","867","","","","3098","3098","3098","CPJADAKE_01236","EJKBOHLF_01952","MCNKEKOJ_00200"
"comEA","","ComE operon protein 1","3","3","1","2","127","","","","650","650","650","CPJADAKE_01546","EJKBOHLF_00703","MCNKEKOJ_01939"
"purK","","N5-carboxyaminoimidazole ribonucleotide synthase","3","3","1","1","967","","","","1091","1091","1091","CPJADAKE_01360","EJKBOHLF_00847","MCNKEKOJ_01240"
"group_2683","","hypothetical protein","3","3","1","1","412","","","","488","488","488","CPJADAKE_00193","EJKBOHLF_00414","MCNKEKOJ_00288"
"gatC_1","","Glutamyl-tRNA(Gln) amidotransferase subunit C","3","3","1","1","1118","","","","302","302","302","CPJADAKE_00078","EJKBOHLF_00267","MCNKEKOJ_00886"
"group_2685","","hypothetical protein","3","3","1","1","709","","","","2708","2708","2708","CPJADAKE_00501","EJKBOHLF_00099","MCNKEKOJ_00039"
"group_2686","","hypothetical protein","3","3","1","5","108","","","","170","170","170","CPJADAKE_02087","EJKBOHLF_01118","MCNKEKOJ_02029"
"group_2687","","hypothetical protein","3","3","1","1","576","","","","164","164","164","CPJADAKE_01457","EJKBOHLF_01428","MCNKEKOJ_00696"
"group_2688","","hypothetical protein","3","3","1","1","95","","","","758","758","758","CPJADAKE_01429","EJKBOHLF_00939","MCNKEKOJ_00790"
"cutC_2","","Copper homeostasis protein CutC","3","3","1","5","60","","","","632","632","632","CPJADAKE_00308","EJKBOHLF_02009","MCNKEKOJ_00935"
"group_269","","putative HTH-type transcriptional regulator","3","3","1","1","1368","","","","440","440","440","CPJADAKE_00450","EJKBOHLF_00300","MCNKEKOJ_00573"
"mshD_2","","Mycothiol acetyltransferase","3","3","1","2","5","","","","884","884","884","CPJADAKE_01814","EJKBOHLF_01979","MCNKEKOJ_01369"
"group_2691","","hypothetical protein","3","3","1","6","102","","","","320","320","320","CPJADAKE_00647","EJKBOHLF_01269","MCNKEKOJ_01167"
"group_2692","","hypothetical protein","3","3","1","3","218","","","","314","314","314","CPJADAKE_01862","EJKBOHLF_01718","MCNKEKOJ_01960"
"group_2693","","hypothetical protein","3","3","1","1","1073","","","","650","650","650","CPJADAKE_00113","EJKBOHLF_01344","MCNKEKOJ_01501"
"murD","","UDP-N-acetylmuramoylalanine--D-glutamate ligase","3","3","1","4","98","","","","1352","1352","1352","CPJADAKE_00971","EJKBOHLF_00597","MCNKEKOJ_01415"
"group_2695","","hypothetical protein","3","3","1","1","1141","","","","371","371","371","CPJADAKE_00055","EJKBOHLF_00245","MCNKEKOJ_00864"
"dapA","","4-hydroxy-tetrahydrodipicolinate synthase","3","3","1","1","70","","","","935","935","935","CPJADAKE_01640","EJKBOHLF_00915","MCNKEKOJ_00813"
"group_2697","","hypothetical protein","3","3","1","1","1386","","","","1226","1226","1226","CPJADAKE_00432","EJKBOHLF_01433","MCNKEKOJ_00589"
"group_2698","","putative protein","3","3","1","6","56","","","","1172","1175","1173","CPJADAKE_00602","EJKBOHLF_01852","MCNKEKOJ_01211"
"galK_2","","Galactokinase","3","3","1","8","46","","","","1178","1178","1178","CPJADAKE_01305","EJKBOHLF_01394","MCNKEKOJ_01122"
"ribE","","Riboflavin synthase","3","3","1","1","1364","","","","635","635","635","CPJADAKE_00454","EJKBOHLF_00304","MCNKEKOJ_00569"
"glnQ_4","","Glutamine transport ATP-binding protein GlnQ","3","3","1","4","28","","","","758","758","758","CPJADAKE_01493","EJKBOHLF_00774","MCNKEKOJ_01567"
"group_2701","","hypothetical protein","3","3","1","2","185","","","","611","611","611","CPJADAKE_01733","EJKBOHLF_02023","MCNKEKOJ_01405"
"dinG_1","","3'-5' exonuclease DinG","3","3","1","2","90","","","","590","590","590","CPJADAKE_01613","EJKBOHLF_00740","MCNKEKOJ_01634"
"group_2703","","hypothetical protein","3","3","1","1","152","","","","194","194","194","CPJADAKE_01420","EJKBOHLF_01318","MCNKEKOJ_00740"
"yeeO","","putative FMN/FAD exporter YeeO","3","3","1","9","56","","","","1280","1280","1280","CPJADAKE_01149","EJKBOHLF_01035","MCNKEKOJ_01313"
"group_2705","","hypothetical protein","3","3","1","1","418","","","","182","182","182","CPJADAKE_00187","EJKBOHLF_00420","MCNKEKOJ_00282"
"yfnB","","Putative HAD-hydrolase YfnB","3","3","1","1","217","","","","713","713","713","CPJADAKE_01051","EJKBOHLF_00901","MCNKEKOJ_01785"
"yvgN","","Glyoxal reductase","3","3","1","1","903","","","","842","842","842","CPJADAKE_00153","EJKBOHLF_00462","MCNKEKOJ_00238"
"axeA","","Cephalosporin-C deacetylase","3","3","1","1","668","","","","980","980","980","CPJADAKE_01586","EJKBOHLF_00062","MCNKEKOJ_02036"
"group_2709","","putative ABC transporter ATP-binding protein","3","3","1","1","350","","","","1724","1724","1724","CPJADAKE_00255","EJKBOHLF_02095","MCNKEKOJ_00349"
"tag","","DNA-3-methyladenine glycosylase 1","3","3","1","1","1361","","","","563","563","563","CPJADAKE_00457","EJKBOHLF_00307","MCNKEKOJ_00566"
"group_2710","","hypothetical protein","3","3","1","4","123","","","","524","524","524","CPJADAKE_01945","EJKBOHLF_01913","MCNKEKOJ_01440"
"rpmF","","50S ribosomal protein L32","3","3","1","3","204","","","","182","182","182","CPJADAKE_01876","EJKBOHLF_01732","MCNKEKOJ_01905"
"degA","","HTH-type transcriptional regulator DegA","3","3","1","1","640","","","","965","965","965","CPJADAKE_01558","EJKBOHLF_00035","MCNKEKOJ_00639"
"group_2713","","hypothetical protein","3","3","1","1","596","","","","1067","1088","1081","CPJADAKE_01445","EJKBOHLF_01414","MCNKEKOJ_00684"
"melR","","HTH-type transcriptional repressor MelR","3","3","1","8","47","","","","1007","1007","1007","CPJADAKE_01306","EJKBOHLF_01395","MCNKEKOJ_01123"
"oatA","","O-acetyltransferase OatA","3","3","1","9","67","","","","1817","1817","1817","CPJADAKE_01139","EJKBOHLF_01027","MCNKEKOJ_01303"
"group_2716","","hypothetical protein","3","3","1","2","100","","","","191","191","191","CPJADAKE_01603","EJKBOHLF_00730","MCNKEKOJ_01624"
"COQ5_2","","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","3","3","1","1","622","","","","740","746","744","CPJADAKE_01697","EJKBOHLF_00017","MCNKEKOJ_00658"
"leuS","","Leucine--tRNA ligase","3","3","1","1","1287","","","","2501","2501","2501","CPJADAKE_00876","EJKBOHLF_00376","MCNKEKOJ_00498"
